반,이름,국어,영어,수학,과학
3반,학생1,64,51,87,50
2반,학생2,81,83,86,65
1반,학생3,55,85,93,73
4반,학생4,81,57,50,50
3반,학생5,61,81,98,93
2반,학생6,59,75,82,75
1반,학생7,59,79,52,64
1반,학생8,87,75,80,99
3반,학생9,70,100,62,99
4반,학생10,82,81,80,50
4반,학생11,53,77,73,72
4반,학생12,77,95,61,73
4반,학생13,77,88,50,65
4반,학생14,92,93,68,59
5반,학생15,84,84,67,90
3반,학생16,99,69,95,94
5반,학생17,88,61,63,76
4반,학생18,76,93,56,68
4반,학생19,86,91,59,75
5반,학생20,53,91,54,58
4반,학생21,89,68,63,69
1반,학생22,73,62,99,89
5반,학생23,82,87,87,85
5반,학생24,96,55,82,80
2반,학생25,51,75,62,87
4반,학생26,54,99,92,54
1반,학생27,73,96,67,77
1반,학생28,79,96,59,64
1반,학생29,75,84,62,60
5반,학생30,51,77,91,91
4반,학생31,83,82,70,59
3반,학생32,50,90,94,55
2반,학생33,57,96,100,81
5반,학생34,79,75,73,89
3반,학생35,54,54,60,91
4반,학생36,83,100,72,93
4반,학생37,69,91,52,90
4반,학생38,92,85,69,69
3반,학생39,61,63,66,88
1반,학생40,94,84,88,77
4반,학생41,58,70,77,61
2반,학생42,55,66,55,67
3반,학생43,80,58,61,84
2반,학생44,79,83,98,92
5반,학생45,96,66,63,67
3반,학생46,81,82,57,52
1반,학생47,60,63,85,54
3반,학생48,53,93,98,86
4반,학생49,80,53,84,65
4반,학생50,65,98,57,68
4반,학생51,81,73,66,50
1반,학생52,88,93,51,81
3반,학생53,88,84,91,51
1반,학생54,51,58,67,80
3반,학생55,53,61,51,77
4반,학생56,82,65,98,84
5반,학생57,95,80,57,95
1반,학생58,50,94,59,73
3반,학생59,88,84,59,90
2반,학생60,70,84,50,94
4반,학생61,61,52,78,88
4반,학생62,55,63,69,86
1반,학생63,54,74,63,79
1반,학생64,78,51,66,73
5반,학생65,65,69,67,70
2반,학생66,73,68,51,73
4반,학생67,61,51,82,77
4반,학생68,69,56,94,55
2반,학생69,85,94,59,52
4반,학생70,90,85,75,66
1반,학생71,98,99,66,67
4반,학생72,54,98,72,75
3반,학생73,79,78,66,87
5반,학생74,82,95,69,67
2반,학생75,52,72,99,92
3반,학생76,97,84,84,98
5반,학생77,58,94,76,96
4반,학생78,79,87,93,60
1반,학생79,87,52,58,72
4반,학생80,75,63,65,54
5반,학생81,80,73,98,65
5반,학생82,63,99,70,89
4반,학생83,73,52,51,59
3반,학생84,66,92,81,79
2반,학생85,71,56,95,72
2반,학생86,81,56,98,55
5반,학생87,60,53,97,73
4반,학생88,93,64,82,70
2반,학생89,71,62,57,70
5반,학생90,90,64,63,92
3반,학생91,55,98,99,74
2반,학생92,98,71,55,51
2반,학생93,55,71,88,79
2반,학생94,98,58,91,58
4반,학생95,61,80,65,69
3반,학생96,83,79,57,69
2반,학생97,88,79,90,74
4반,학생98,97,80,94,70
5반,학생99,72,69,56,88
5반,학생100,99,68,66,99
3반,학생101,91,50,73,60
1반,학생102,81,65,84,56
1반,학생103,95,74,82,52
5반,학생104,99,71,73,74
3반,학생105,81,52,99,60
3반,학생106,60,74,85,72
2반,학생107,87,61,75,60
5반,학생108,62,75,88,90
1반,학생109,62,51,91,91
4반,학생110,79,55,90,73
3반,학생111,71,92,84,67
2반,학생112,78,99,82,92
4반,학생113,67,86,82,68
5반,학생114,77,88,61,51
5반,학생115,80,51,65,90
3반,학생116,84,96,55,82
5반,학생117,87,71,86,81
1반,학생118,59,98,50,89
2반,학생119,86,83,91,64
4반,학생120,72,55,95,56
1반,학생121,63,97,69,55
2반,학생122,63,82,76,64
2반,학생123,97,84,72,93
3반,학생124,80,92,96,74
4반,학생125,72,80,50,64
4반,학생126,60,65,64,63
1반,학생127,78,91,90,88
1반,학생128,53,84,97,77
1반,학생129,55,94,56,54
2반,학생130,52,58,100,50
2반,학생131,91,95,65,92
4반,학생132,53,55,64,96
3반,학생133,67,88,73,50
5반,학생134,82,54,87,81
4반,학생135,96,64,66,63
4반,학생136,56,65,68,75
1반,학생137,76,98,76,71
4반,학생138,62,96,94,51
5반,학생139,94,85,94,56
1반,학생140,99,82,69,94
3반,학생141,99,57,67,86
1반,학생142,82,73,64,67
2반,학생143,100,51,57,70
2반,학생144,70,69,94,66
3반,학생145,98,68,92,78
2반,학생146,57,66,78,60
5반,학생147,71,71,93,56
5반,학생148,71,92,72,68
4반,학생149,88,87,83,72
5반,학생150,58,88,66,90
